,ppi,expr,mean_edge,mean_global,greater,pval
mean of x,Bossi,Body Map,0.2648902840893,0.266953980419442,FALSE,0.918920727505963
mean of x1,Bossi,Gene Atlas,0.234997567270818,0.268768984570892,FALSE,0.0800814683364346
mean of x2,Bossi,RNAseq Atlas,0.247563736824431,0.269039595624559,FALSE,0.207555453549585
mean of x3,Bossi,HPA,0.244801446546063,0.270390694390233,FALSE,0.415180194790716
mean of x4,Bossi,HPA All,0.22322416330079,0.255815612686531,FALSE,0.102903144320357
mean of x5,STRING,Body Map,0.309717382633401,0.312498405809694,FALSE,0.869492230658319
mean of x6,STRING,Gene Atlas,0.256759986972471,0.292617509947238,FALSE,0.0334671413915068
mean of x7,STRING,RNAseq Atlas,0.274867511367292,0.282502269569477,FALSE,0.646792101626966
mean of x8,STRING,HPA,0.309936365020903,0.331837450284542,FALSE,0.438964893801547
mean of x9,STRING,HPA All,0.269986283001024,0.284681405997942,FALSE,0.428882956635981
mean of x10,IMEx,Body Map,0.180252142049832,0.180322381072929,FALSE,0.99699156321098
mean of x11,IMEx,Gene Atlas,0.15963814037064,0.189383725812873,FALSE,0.0809056999027601
mean of x12,IMEx,RNAseq Atlas,0.169878643929642,0.186585548762292,FALSE,0.289732450142627
mean of x13,IMEx,HPA,0.175833352690299,0.188968251841269,FALSE,0.622663568764704
mean of x14,IMEx,HPA All,0.14437836598175,0.157127546926947,FALSE,0.47337000762031
mean of x15,Havugimana,Body Map,0.240129000263812,0.222445895419041,TRUE,0.68559933893789
mean of x16,Havugimana,Gene Atlas,0.276202524763661,0.262638724841425,TRUE,0.72239588539903
mean of x17,Havugimana,RNAseq Atlas,0.255364581995594,0.265188479996711,FALSE,0.783920948443039
mean of x18,Havugimana,HPA,0.334591979332534,0.317873631940377,TRUE,0.835548092197443
mean of x19,Havugimana,HPA All,0.261364058740685,0.282477690121773,FALSE,0.624794571794092
mean of x20,HI-2012,Body Map,0.094614739814077,0.102804490717259,FALSE,0.79657051278028
mean of x21,HI-2012,Gene Atlas,0.14729526768552,0.0716357922517101,TRUE,0.049988484053078
mean of x22,HI-2012,RNAseq Atlas,0.0885722632180316,0.0661317164621626,TRUE,0.290710654192392
mean of x23,HI-2012,HPA,0.0305892735376451,0.128308628385925,FALSE,0.23377179349928
mean of x24,HI-2012,HPA All,0.077846456223171,0.053143155711485,TRUE,0.217736957163601
