Gene1	Gene2
P25789	P60900
O00232	Q9UNM6
P62191	P51665
P17987	P48643
P27694	P15927
Q15436	O95487
O75821	O15372
Q13435	Q15427
O15372	Q9UBQ5
Q9NYB0	Q15554
Q9Y478	Q13131
P17980	P62195
P43686	O75832
P55884	O75821
Q13404	P61088
P49736	P33991
P25205	P33992
P35249	P40937
Q9NQT5	Q9NQT4
P15927	P35244
P30153	P63151
O14777	Q9HBM1
Q9UBD5	O43913
P24928	P23193
Q12962	Q15542
P35251	P35250
O60563	P50750
Q14181	P09884
Q14152	P55884
Q14152	Q13347
P55884	Q13347
Q13416	O43913
P62191	P35998
P43686	P62195
P25787	P60900
P25788	P60900
P62191	Q13200
P35250	P40937
O60216	Q14683
P07814	P41252
Q13155	Q15046
P17987	Q99832
P12956	P13010
P07814	P54136
P63151	P67775
P49736	Q14566
P25786	P25788
P30153	P67775
Q12904	P54136
P33991	P33993
P68400	P67870
P33991	Q14566
P51946	P50613
P49736	P33993
Q9Y333	P62310
Q13042	P30260
P25205	P33993
P49736	P33992
Q14566	P33993
Q15436	P53992
P53621	O14579
P27694	P35244
Q13155	P14868
P63272	O00267
P33992	P33993
P35998	Q16401
P62826	P18754
Q12962	O00268
P62191	Q16401
Q13200	Q16401
Q09161	P52298
Q01081	P26368
Q9Y248	Q9BRT9
Q13868	Q9NPD3
Q07955	P26368
P12956	P78527
P08559	P11177
Q9UHI6	Q16637
Q13547	Q92769
Q12962	P49848
P57740	Q8WUM0
Q12962	P20226
Q14974	P62826
P17980	P43686
P43686	P35998
P32969	P23396
Q14683	Q9UQE7
P19784	P67870
P35250	P35249
P50613	P51948
P63220	P08865
Q9UJX6	P30260
P40938	P35249
P14678	P62318
P24534	P26641
O14777	Q9BZD4
O94979	P55735
P19447	P32780
O14964	Q92783
O95400	O94906
P43487	P62826
Q9NPJ6	Q9NWA0
P36543	O75348
Q06323	Q9UL46
Q9Y2X0	Q9NWA0
P35221	P14923
P49959	O60934
P35251	P40938
Q15370	Q15369
P60842	Q04637
O60244	Q9NX70
Q96A65	Q9UPT5
Q9UJX3	P30260
Q9NPD3	Q15024
P38159	P61978
O14964	O75886
P24928	O00267
P35998	O75832
P62333	Q9UNM6
P62191	Q9UNM6
P62195	Q9UNM6
P60900	Q9UNM6
O00231	Q9UNM6
P62333	P51665
P17980	P51665
P35998	P51665
O00231	P51665
Q9UNM6	P51665
P62191	O00487
P35998	O00487
O00232	O00487
P51665	O00487
P51665	Q99460
O00487	Q99460
P51665	Q13200
O75832	O43242
Q9UNM6	O43242
P51665	O43242
P62333	Q15008
P25787	Q15008
O00232	Q15008
P51665	Q15008
Q99460	Q15008
Q13200	Q15008
O43242	Q15008
Q9UNM6	P48556
Q15008	P48556
P17987	P78371
O75832	P51665
Q9UNM6	Q99460
O00487	Q15008
Q9UNM6	O00487
O00231	O00487
O00232	P51665
O75832	O00487
O75832	Q13200
P28074	Q15008
Q9UNM6	Q15008
O00487	O43242
P25786	Q9UNM6
O15371	O15372
P60228	O15372
O95602	Q9H9Y6
P25788	Q9UNM6
O15372	Q13347
Q9BTT4	O75586
O14818	Q9UNM6
O95400	P62306
O95400	O75643
Q9BWU1	Q9NWA0
P14678	O75643
Q96DI7	O75643
Q9BTT4	Q9NPJ6
Q9H1A4	P30260
Q9UJX4	Q9UJX3
Q9H1A4	Q9UJX3
Q15648	Q9NX70
Q13042	Q9UJX2
Q96KP1	Q8IYI6
Q9UHV9	P61758
Q99471	O15212
P40692	P54278
P09661	P08579
P29083	P29084
Q14152	O75821
Q9Y265	Q9Y230
P24928	P19387
Q10567	O43747
P51532	Q92922
Q9NQT5	Q06265
P51532	Q12824
P62314	P62316
P49770	Q13144
P30154	P63151
P53621	P35606
P07992	Q92889
P49458	P37108
Q9Y678	P61923
P49959	Q92878
P19388	P24928
Q13547	O95983
Q13547	Q09028
Q8WUA4	Q9UKN8
Q99816	Q9H9H4
Q13547	Q16576
O60934	Q92878
O94776	Q09028
P10515	O00330
Q9NPD3	Q06265
O94776	Q16576
O96019	Q9Y265
Q14839	Q13547
P31943	P52597
Q15543	P20226
Q9H9C1	Q9H267
Q5RKV6	Q15024
Q9UJX5	Q9UJX4
Q9H1A4	Q9UJX2
P62333	P62195
P62191	P62195
P62195	O75832
O75832	O00231
O75832	O00232
P62195	Q99460
O75832	Q99460
P17987	P50991
P17987	P49368
P17987	P40227
O75832	Q15008
P17987	P50990
Q14152	P60228
Q14152	O00303
Q9UJX6	Q9H1A4
P62333	O75832
Q9H1A4	Q9UJX4
Q9H1A4	Q13042
Q14152	O15371
Q9H1A4	Q9UJX5
Q14152	Q9UBQ5
Q9UJX6	Q9UJX4
Q9UJX5	P30260
Q93074	Q9NX70
P50748	O43264
P35251	P40937
Q9NX70	Q9NPJ6
Q6P2Q9	Q96DI7
Q9Y2X0	Q9NX70
P33992	Q14566
O75448	Q9NX70
Q9UJX5	Q9UJX2
Q9UHV7	Q9NX70
Q9NX70	Q96G25
Q13503	Q9NX70
Q9NX70	O75586
Q9Y4Y9	P62312
P25786	P25787
P25787	P25788
P25786	P25789
P25787	P25789
P25788	P25789
P25789	P28066
P25786	O14818
P25787	O14818
P25789	O14818
P28066	O14818
P60900	O14818
P25786	P49721
P20618	P49720
P49721	P49720
P25786	P28074
P25787	P28074
P25788	P28074
P20618	P28074
P49720	P28074
P20618	Q99436
P28072	Q99436
Q15459	Q12874
P47897	P54136
Q15542	P49848
P35998	Q13200
P53618	P48444
Q99613	O75821
P53618	Q9Y678
P19388	P19387
Q15459	Q15428
O75533	Q15393
Q9Y3B4	O75533
P05386	P05387
Q99613	P60228
P21675	Q15542
Q9UM13	Q9UJX2
P30876	P19387
P63098	Q08209
P36543	Q9UI12
P21675	P49848
Q02218	P36957
Q9UM13	P30260
Q13813	Q01082
Q9NQT5	Q9NPD3
Q9UM13	Q13042
Q9BRG1	Q86VN1
P62310	P62312
P12004	P35249
Q13868	Q9NQT4
O15371	O75821
O00161	Q12846
Q13868	Q06265
P08237	P17858
Q99613	Q9UBQ5
Q92643	Q969N2
P18074	P19447
Q12789	Q9UKN8
O43292	Q969N2
O43747	P56377
Q13416	Q9UBD5
P21675	O00268
P12004	P35251
O14579	Q9Y678
Q9UKN8	Q9Y5Q8
P61978	P14866
P62826	O14980
P11177	O00330
P19447	Q92759
P25205	Q14566
P05198	P20042
O75821	Q9UBQ5
P14866	P22626
P14866	P26599
P08648	P05556
P53618	O14579
Q12962	Q15543
Q07955	Q01081
P43686	O00231
P17980	Q9UNM6
P43686	Q9UNM6
P35998	Q9UNM6
P43686	P51665
P62195	P51665
P43686	Q99460
P43686	Q13200
Q9UNM6	Q13200
P62191	Q15008
P17980	Q15008
P43686	Q15008
P35998	Q15008
P62195	Q15008
O00231	Q15008
P55036	Q15008
Q6P2Q9	Q15029
Q9UNM6	P55036
O75832	P55036
P51946	P51948
P62191	O75832
Q9UJX2	P30260
Q99613	O15372
P62191	P43686
P51665	P55036
Q14152	O15372
P49848	P20226
O14777	Q8NBT2
P55884	O15372
Q9UJX4	P30260
P17980	O75832
P35251	P35249
Q9UJX5	Q13042
O95400	Q6P2Q9
O95400	Q96DI7
O00268	P20226
Q9P086	Q9NX70
Q9BTT4	Q9P086
O76071	Q9Y3D0
P25788	O14818
P28074	Q99436
P49720	Q99436
Q9Y333	Q9UK45
Q9UBE0	Q9UBT2
Q15819	P61088
P43246	P20585
Q9Y333	O95777
O95347	Q9NTJ3
P43246	P52701
P19022	P35221
P30154	P67775
P19447	Q13889
P19022	P14923
P62310	Q9UK45
P33240	Q12996
O43809	Q16630
Q13111	Q13112
P78527	Q13426
Q92905	Q7L5N1
P02794	P02792
Q15233	P23246
Q99459	O43660
O43447	O43172
Q9UBQ5	Q9Y262
O43747	P61966
Q9Y2Q5	Q9UHA4
O95983	O94776
O14497	P51532
O00303	Q7L2H7
P51532	Q969G3
Q13098	Q9UNS2
P60842	O43432
Q92769	Q09028
O60244	Q15648
Q15648	Q96G25
Q92878	Q9NYB0
Q13619	Q16531
Q92769	Q16576
Q13620	Q16531
Q8NFD5	P51531
O96019	P51532
P61201	Q92905
P33897	P28288
Q8NFD5	P51532
Q9UIG0	O60264
Q96ES7	O75528
P14678	P62314
Q92905	Q9UBW8
P51610	O15294
P61201	Q7L5N1
Q14738	P30154
Q9H9E3	P83436
P27986	P42338
Q9UP83	P83436
Q86V81	Q13838
Q9H9E3	Q9UP83
P61604	P10809
Q8WTW3	Q9H9E3
Q7L5N1	Q99627
Q9UNS2	Q7L5N1
P60842	P78344
Q13547	Q13330
Q9UHX1	P26368
Q14103	P11940
Q9UJX3	Q13042
P30153	Q13033
Q12962	Q15545
O96019	Q9Y4A5
P08107	Q9UNE7
Q9BT78	Q7L5N1
P62826	Q92973
Q96S44	Q9Y3C4
P55039	Q9H446
Q8TAT6	Q92890
O43583	Q9ULC4
Q9UBP6	P57081
Q9BPX5	P59998
Q96A72	Q9Y5S9
P21333	O75369
Q96IJ6	Q9Y5P6
Q9P287	P62829
Q08211	Q9UBU9
Q14919	Q01658
Q9P0W2	P08670
Q01844	Q9Y676
O60232	P48643
Q96KP1	Q96A65
P62195	O00231
P62195	Q13200
P62829	P62753
P51532	Q8TAQ2
Q9UI10	Q13144
Q13144	Q9NR50
P62195	O43242
P35606	Q9Y678
Q9Y5B9	Q08945
Q92922	Q12824
Q16594	P20226
Q13868	Q9NQT5
O60216	Q9UQE7
Q96A65	Q8IYI6
Q14181	P49642
Q13547	O94776
Q13547	Q86YP4
Q14181	P49643
P51610	P61964
Q9BS18	Q9UJX5
Q12873	O94776
P60842	Q15056
Q9UBL3	P61964
Q9BS18	P30260
Q9UNM6	Q16401
Q9BS18	Q8NHZ8
Q9BS18	Q9UJX4
Q9BS18	Q9UJX2
Q9BS18	Q9UJX3
P61158	O15144
P61158	P59998
Q9NPD3	Q01780
Q9Y333	P62312
Q15542	Q16594
O15145	P59998
P61158	O15145
P61160	P61158
P59998	O15511
P11388	Q02880
P49770	Q9UI10
Q9NQT4	Q01780
Q9UHV9	Q9NQP4
P49848	Q16594
O15144	P59998
P09493	P07951
Q9P086	Q96G25
Q9NRF9	Q9NR33
P48444	Q9Y678
Q71U36	Q13885
P21675	Q15545
P08107	P11142
P13804	P38117
P06576	P36542
Q96KP1	O60645
P53597	Q96I99
P60228	Q9Y262
P41208	Q01831
O75817	O75818
P25705	P36542
O95983	Q16576
P10515	P08559
P16144	Q15149
Q9UBF2	Q9Y678
Q8WTW3	Q96JB2
O96019	P51531
Q93074	Q96G25
Q14746	Q96JB2
Q9NRG0	O60264
O95983	Q09028
Q8IYB3	Q9UQ35
O00268	P49848
O95983	Q86YP4
P53618	Q9UBF2
Q9NPD3	Q96B26
O14981	P20226
O00268	Q16594
P62258	P63104
Q9UM13	Q9UJX3
Q92841	P17844
Q9BT78	Q99627
O95400	P14678
Q9UM13	Q9H1A4
Q9UJX6	Q9UJX2
Q14152	Q99613
O60645	O00471
Q9Y333	Q9Y4Z0
Q9Y4Z0	P62312
P62333	P62191
P35998	P62195
P62333	P25786
P62191	P25786
P25787	P28066
P25786	P60900
P25786	P20618
P25787	P20618
P25787	P49721
P25786	P49720
P25787	P49720
P25786	P28070
P25787	P28070
P25786	P28072
P25787	P28072
P25786	Q99436
P25787	Q99436
P25789	Q99436
P49721	Q99436
P62333	O00232
O75832	Q9UNM6
P62333	O00487
P62191	Q99460
P62333	Q13200
O00487	P55036
P25786	Q15008
P25788	Q15008
Q99436	Q15008
P51665	P48556
P62913	P62829
P46777	P62266
Q12904	Q15046
P49721	P28074
P24928	P30876
Q6P2Q9	O75643
Q10567	Q9BXS5
P55884	Q99613
P25786	P28066
P24928	P36954
O95602	O15160
P49720	Q15008
P53621	P53618
P09884	P49642
Q99436	Q99460
P60900	Q15008
Q9UJX6	Q13042
Q13155	P41252
O75533	Q13435
Q9P2J5	P54136
Q13155	P54136
O14802	Q9Y535
Q15436	P55735
O75533	Q9BWJ5
O75533	Q15427
Q9BWU1	Q9BUE0
P35250	P40938
Q15428	Q12874
Q15428	Q15393
O00487	P48556
Q13503	O75586
Q13155	P47897
P09884	P49643
P33991	P33992
P31040	P21912
Q9BZI7	Q15287
O15371	O00303
P52294	Q14974
Q99436	P28062
Q8WUA4	Q9Y5Q8
Q12840	Q9H0B6
Q7RTV0	O75533
Q8WUA4	Q9Y5Q9
Q9NW08	P05423
Q9UJX6	Q9UJX5
P52434	P05423
P40306	P49720
P25787	P28062
O43747	Q9BXS5
O75489	P19404
Q15428	O75533
Q9BUE0	Q9NPJ6
O75306	P19404
O75306	O75489
Q8NBT2	Q9HBM1
P55884	O00303
Q9BUE0	Q15648
P24928	P35269
P62304	P62314
Q13435	Q15393
O60244	Q13503
O43390	P09651
O00303	Q9UBQ5
O00303	Q13347
Q99460	Q16401
Q9Y5Q9	Q9UKN8
O14802	P05423
P05423	Q9Y535
P60228	O00303
P62310	Q9Y4Z0
P24539	P30049
O43678	P17568
O00303	O75821
Q15648	Q13503
