PPI,ClusterSize,ClusterScore
GLOBAL,231,0.289913589708
GLOBAL,443,0.115731295813
GLOBAL,1152,0.136398063541
GLOBAL,1674,0.119694629175
GLOBAL,309,0.108547476805
GLOBAL,9,0.41513849558
GLOBAL,131,0.0512399905437
GLOBAL,840,0.0595419515911
GLOBAL,789,0.00579485800436
GLOBAL,295,0.0825480546104
GLOBAL,61,0.0844077275788
GLOBAL,15,-0.0035735824296
GLOBAL,7,0.575635565005
GLOBAL,5,-0.159456046613
GLOBAL,19,0.093610961979
GLOBAL,31,0.463421913013
GLOBAL,8,0.476277831366
GLOBAL,53,0.380796348409
GLOBAL,8,0.661681703206
GLOBAL,4,0.617933289032
GLOBAL,4,0.348100000178
GLOBAL,4,0.6209653995
Global,233,0.283495446348
Global,1826,0.120925140125
Global,671,0.0510168805365
Global,290,0.112148251059
Global,846,0.0139001267483
Global,166,0.113037145429
Global,117,0.085454303412
Global,742,0.0644454755795
Global,794,0.162895932069
Global,55,0.175233757318
Global,4,0.55542412224
Global,4,0.502877992684
Global,125,0.0540276031029
Global,83,0.124082515922
Global,8,0.272029975005
Global,13,0.307057163646
Global,5,0.240876228843
Global,5,-0.159456046613
Global,8,0.476277831366
Global,55,0.339417077019
Global,17,0.172202032434
Global,8,0.661681703206
Global,4,0.617933289032
Global,4,0.348100000178
Global,4,0.6209653995
Global,5,0.558183426548
adrenal gland - glandular cells,231,0.289913589708
adrenal gland - glandular cells,436,0.124125635781
adrenal gland - glandular cells,589,0.0546728962103
adrenal gland - glandular cells,1605,0.119710822382
adrenal gland - glandular cells,293,0.109659383631
adrenal gland - glandular cells,9,0.41513849558
adrenal gland - glandular cells,118,0.114402560009
adrenal gland - glandular cells,115,0.0495866883657
adrenal gland - glandular cells,777,0.0662717754074
adrenal gland - glandular cells,817,0.00958021730843
adrenal gland - glandular cells,102,0.168525290554
adrenal gland - glandular cells,842,0.167341104505
adrenal gland - glandular cells,54,0.21251479119
adrenal gland - glandular cells,7,0.575635565005
adrenal gland - glandular cells,5,0.240876228843
adrenal gland - glandular cells,5,-0.159456046613
adrenal gland - glandular cells,53,0.380796348409
adrenal gland - glandular cells,8,0.661681703206
adrenal gland - glandular cells,4,0.525786989923
adrenal gland - glandular cells,6,0.516772256402
adrenal gland - glandular cells,4,0.617933289032
adrenal gland - glandular cells,4,0.348100000178
adrenal gland - glandular cells,4,0.6209653995
adrenal gland - glandular cells,4,0.701589084323
appendix - glandular cells,232,0.282525642117
appendix - glandular cells,445,0.121274810973
appendix - glandular cells,575,0.059515528481
appendix - glandular cells,1538,0.122539045539
appendix - glandular cells,433,0.0876033520567
appendix - glandular cells,203,0.145204300199
appendix - glandular cells,864,0.0146263471613
appendix - glandular cells,83,0.0472269184418
appendix - glandular cells,799,0.167337526377
appendix - glandular cells,683,0.060561037371
appendix - glandular cells,90,0.0624161951748
appendix - glandular cells,8,0.272029975005
appendix - glandular cells,5,0.240876228843
appendix - glandular cells,5,-0.159456046613
appendix - glandular cells,31,0.463421913013
appendix - glandular cells,55,0.339417077019
appendix - glandular cells,17,0.172202032434
appendix - glandular cells,8,0.661681703206
appendix - glandular cells,6,0.516772256402
appendix - glandular cells,4,0.617933289032
appendix - glandular cells,4,0.348100000178
appendix - glandular cells,4,0.6209653995
bone marrow - hematopoietic cells,805,0.0624282704304
bone marrow - hematopoietic cells,427,0.124059898115
bone marrow - hematopoietic cells,310,0.00967860552575
bone marrow - hematopoietic cells,1620,0.119321122626
bone marrow - hematopoietic cells,231,0.289913589708
bone marrow - hematopoietic cells,308,0.106588650713
bone marrow - hematopoietic cells,9,0.41513849558
bone marrow - hematopoietic cells,1090,0.156350732616
bone marrow - hematopoietic cells,95,0.0666219344833
bone marrow - hematopoietic cells,810,0.0119206793837
bone marrow - hematopoietic cells,198,0.0563130280914
bone marrow - hematopoietic cells,21,0.110763112381
bone marrow - hematopoietic cells,7,0.285041670454
bone marrow - hematopoietic cells,7,0.575635565005
bone marrow - hematopoietic cells,5,0.356444058138
bone marrow - hematopoietic cells,5,-0.159456046613
bone marrow - hematopoietic cells,7,-0.0331285857563
bone marrow - hematopoietic cells,32,0.457181291769
bone marrow - hematopoietic cells,8,0.476277831366
bone marrow - hematopoietic cells,53,0.380796348409
bone marrow - hematopoietic cells,17,0.172202032434
bone marrow - hematopoietic cells,8,0.661681703206
bone marrow - hematopoietic cells,4,0.617933289032
bone marrow - hematopoietic cells,4,0.348100000178
bone marrow - hematopoietic cells,4,0.6209653995
bone marrow - hematopoietic cells,4,0.701589084323
breast - glandular cells,231,0.289913589708
breast - glandular cells,438,0.116744084055
breast - glandular cells,1218,0.129742831026
breast - glandular cells,1642,0.119683609665
